#          r            f            d         rho1         rho2         mass
 2.51639e-02  6.71193e-01  1.54873e+01  2.77684e+01  8.63100e+00  2.97645e-03
 2.62780e-02  6.87946e-01  1.45948e+01  2.70130e+01  8.08631e+00  3.30752e-03
 2.74414e-02  7.04407e-01  1.37096e+01  2.62413e+01  7.54971e+00  3.67072e-03
 2.86564e-02  7.20528e-01  1.28366e+01  2.54552e+01  7.02416e+00  4.06864e-03
 2.99251e-02  7.36264e-01  1.19801e+01  2.46569e+01  6.51217e+00  4.50381e-03
 3.12500e-02  7.51577e-01  1.11446e+01  2.38484e+01  6.01621e+00  4.97901e-03
 3.26336e-02  7.66428e-01  1.03338e+01  2.30323e+01  5.53840e+00  5.49711e-03
 3.40784e-02  7.80785e-01  9.55138e+00  2.22107e+01  5.08066e+00  6.06112e-03
 3.55872e-02  7.94622e-01  8.80033e+00  2.13863e+01  4.64451e+00  6.67418e-03
 3.71627e-02  8.07913e-01  8.08321e+00  2.05613e+01  4.23123e+00  7.33960e-03
 3.88081e-02  8.20644e-01  7.40201e+00  1.97383e+01  3.84167e+00  8.06080e-03
 4.05262e-02  8.32799e-01  6.75820e+00  1.89196e+01  3.47639e+00  8.84138e-03
 4.23205e-02  8.44372e-01  6.15270e+00  1.81074e+01  3.13563e+00  9.68509e-03
 4.41942e-02  8.55359e-01  5.58593e+00  1.73040e+01  2.81931e+00  1.05958e-02
 4.61508e-02  8.65762e-01  5.05784e+00  1.65114e+01  2.52708e+00  1.15777e-02
 4.81941e-02  8.75586e-01  4.56797e+00  1.57316e+01  2.25838e+00  1.26349e-02
 5.03278e-02  8.84840e-01  4.11546e+00  1.49662e+01  2.01241e+00  1.37718e-02
 5.25560e-02  8.93537e-01  3.69914e+00  1.42168e+01  1.78822e+00  1.49929e-02
 5.48829e-02  9.01690e-01  3.31758e+00  1.34849e+01  1.58471e+00  1.63030e-02
 5.73128e-02  9.09319e-01  2.96915e+00  1.27717e+01  1.40071e+00  1.77070e-02
 5.98502e-02  9.16441e-01  2.65206e+00  1.20784e+01  1.23498e+00  1.92097e-02
 6.25000e-02  9.23079e-01  2.36442e+00  1.14057e+01  1.08623e+00  2.08163e-02
 6.52671e-02  9.29253e-01  2.10430e+00  1.07545e+01  9.53182e-01  2.25321e-02
 6.81567e-02  9.34986e-01  1.86973e+00  1.01253e+01  8.34567e-01  2.43621e-02
 7.11743e-02  9.40302e-01  1.65876e+00  9.51851e+00  7.29143e-01  2.63120e-02
 7.43255e-02  9.45223e-01  1.46950e+00  8.93457e+00  6.35720e-01  2.83868e-02
 7.76161e-02  9.49772e-01  1.30010e+00  8.37359e+00  5.53163e-01  3.05922e-02
 8.10525e-02  9.53973e-01  1.14881e+00  7.83565e+00  4.80400e-01  3.29332e-02
 8.46410e-02  9.57847e-01  1.01396e+00  7.32071e+00  4.16430e-01  3.54151e-02
 8.83883e-02  9.61416e-01  8.93991e-01  6.82864e+00  3.60327e-01  3.80430e-02
 9.23017e-02  9.64701e-01  7.87443e-01  6.35923e+00  3.11235e-01  4.08217e-02
 9.63882e-02  9.67720e-01  6.92966e-01  5.91220e+00  2.68373e-01  4.37557e-02
 1.00656e-01  9.70494e-01  6.09314e-01  5.48721e+00  2.31028e-01  4.68493e-02
 1.05112e-01  9.73040e-01  5.35348e-01  5.08384e+00  1.98555e-01  5.01061e-02
 1.09766e-01  9.75375e-01  4.70027e-01  4.70164e+00  1.70373e-01  5.35296e-02
 1.14626e-01  9.77515e-01  4.12407e-01  4.34013e+00  1.45961e-01  5.71224e-02
 1.19700e-01  9.79476e-01  3.61634e-01  3.99877e+00  1.24852e-01  6.08864e-02
 1.25000e-01  9.81270e-01  3.16938e-01  3.67701e+00  1.06631e-01  6.48230e-02
 1.30534e-01  9.82913e-01  2.77626e-01  3.37426e+00  9.09307e-02  6.89325e-02
 1.36313e-01  9.84414e-01  2.43078e-01  3.08993e+00  7.74241e-02  7.32142e-02
 1.42349e-01  9.85787e-01  2.12739e-01  2.82339e+00  6.58236e-02  7.76667e-02
 1.48651e-01  9.87042e-01  1.86114e-01  2.57402e+00  5.58765e-02  8.22868e-02
 1.55232e-01  9.88187e-01  1.62764e-01  2.34118e+00  4.73606e-02  8.70706e-02
 1.62105e-01  9.89234e-01  1.42297e-01  2.12423e+00  4.00815e-02  9.20127e-02
 1.69282e-01  9.90189e-01  1.24367e-01  1.92252e+00  3.38692e-02  9.71063e-02
 1.76777e-01  9.91060e-01  1.08667e-01  1.73540e+00  2.85756e-02  1.02343e-01
 1.84603e-01  9.91855e-01  9.49253e-02  1.56222e+00  2.40720e-02  1.07713e-01
 1.92776e-01  9.92581e-01  8.29026e-02  1.40232e+00  2.02464e-02  1.13204e-01
 2.01311e-01  9.93242e-01  7.23877e-02  1.25508e+00  1.70019e-02  1.18804e-01
 2.10224e-01  9.93845e-01  6.31946e-02  1.11983e+00  1.42545e-02  1.24499e-01
 2.19531e-01  9.94395e-01  5.51595e-02  9.95959e-01  1.19318e-02  1.30271e-01
 2.29251e-01  9.94896e-01  4.81385e-02  8.82829e-01  9.97126e-03  1.36103e-01
 2.39401e-01  9.95352e-01  4.20052e-02  7.79826e-01  8.31918e-03  1.41976e-01
 2.50000e-01  9.95768e-01  3.66486e-02  6.86340e-01  6.92930e-03  1.47870e-01
 2.61068e-01  9.96147e-01  3.19712e-02  6.01776e-01  5.76195e-03  1.53763e-01
 2.72627e-01  9.96492e-01  2.78878e-02  5.25548e-01  4.78316e-03  1.59633e-01
 2.84697e-01  9.96807e-01  2.43235e-02  4.57086e-01  3.96388e-03  1.65456e-01
 2.97302e-01  9.97093e-01  2.12129e-02  3.95837e-01  3.27932e-03  1.71208e-01
